Polish,English,German
dom,house,Haus
kot,cat,Katze
pies,dog,Hund
książka,book,Buch
okno,window,Fenster
drzewo,tree,Baum
woda,water,Wasser
ogień,fire,Feuer
ziemia,earth,Erde
powietrze,air,Luft
słońce,sun,Sonne
księżyc,moon,Mond
gwiazda,star,Stern
chleb,bread,Brot
mleko,milk,Milch
jabłko,apple,Apfel
banan,banana,Banane
samochód,car,Auto
rower,bike,Fahrrad
lampa,lamp,Lampe
telefon,phone,Telefon
komputer,computer,Computer
stół,table,Tisch
krzesło,chair,Stuhl
okulary,glasses,Brille
zegarek,watch,Uhr
buty,shoes,Schuhe
sukienka,dress,Kleid
spodnie,pants,Hose
koszula,shirt,Hemd
